# Values, Stops, Objectives
17.209769,0.000000,1
0.000000,0.000000,1
8.839759,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
4.977972,0.000000,1
5.285725,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
3.661993,0.000000,1
3.625688,0.000000,1
7.434595,0.000000,1
4.783029,0.000000,1
0.000000,0.000000,1
1.626349,0.000000,1
16.843571,0.000000,1
26.672331,0.000000,1
22.502769,0.000000,1
20.500089,0.000000,1
35.942710,0.000000,1
13.681145,0.000000,1
6.193444,0.000000,1
0.000000,0.000000,1
0.216973,0.000000,1
13.454332,0.000000,1
0.000000,0.000000,1
27.831096,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
4.661499,0.000000,1
0.000000,0.000000,1
25.158042,0.000000,1
32.114127,0.000000,1
11.992089,0.000000,1
5.854121,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
1.220775,0.000000,1
0.000000,0.000000,1
39.706411,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
16.208157,0.000000,1
0.084228,0.000000,1
0.000000,0.000000,1
9.105515,0.000000,1
20.692809,0.000000,1
26.294134,0.000000,1
28.500693,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
25.294254,0.000000,1
1.725171,0.000000,1
38.482181,0.000000,1
35.337435,0.000000,1
1.416509,0.000000,1
20.170906,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
23.478441,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
15.035861,0.000000,1
30.197395,0.000000,1
3.044716,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
7.708229,0.000000,1
2.355694,0.000000,1
15.792070,0.000000,1
0.000000,0.000000,1
5.995231,0.000000,1
5.890287,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
1.324785,0.000000,1
0.000000,0.000000,1
3.591422,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
19.290198,0.000000,1
14.988988,0.000000,1
0.000000,0.000000,1
13.516148,0.000000,1
13.464824,0.000000,1
27.475918,0.000000,1
3.703032,0.000000,1
21.459929,0.000000,1
1.381756,0.000000,1
25.633334,0.000000,1
0.000000,0.000000,1
19.999612,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
17.649783,0.000000,1
10.731746,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.779797,0.000000,1
18.706528,0.000000,1
0.004536,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
29.424117,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
39.196924,0.000000,1
38.552164,0.000000,1
7.251271,0.000000,1
0.000000,0.000000,1
28.742168,0.000000,1
0.000000,0.000000,1
34.393655,0.000000,1
0.000000,0.000000,1
18.212766,0.000000,1
10.834484,0.000000,1
6.502846,0.000000,1
26.320576,0.000000,1
10.461867,0.000000,1
0.388197,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
6.909199,0.000000,1
7.295681,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
23.856508,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
7.404216,0.000000,1
25.525137,0.000000,1
13.520807,0.000000,1
2.042646,0.000000,1
0.000000,0.000000,1
22.340986,0.000000,1
0.000000,0.000000,1
8.755853,0.000000,1
21.135250,0.000000,1
0.537052,0.000000,1
0.000000,0.000000,1
28.320587,0.000000,1
0.000000,0.000000,1
2.177570,0.000000,1
7.062241,0.000000,1
0.000000,0.000000,1
11.543137,0.000000,1
3.567175,0.000000,1
11.735708,0.000000,1
7.151185,0.000000,1
76.779417,1.000000,1
0.000000,0.000000,1
24.422496,0.000000,1
0.000000,0.000000,1
0.056089,0.000000,1
5.052723,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
43.061095,0.000000,1
0.408341,0.000000,1
3.406071,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
49.740891,0.000000,1
20.262236,1.000000,1
0.000000,0.000000,1
13.225472,0.000000,1
64.353666,1.000000,1
26.364349,0.000000,1
0.000000,0.000000,1
6.987101,0.000000,1
25.676223,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
18.644251,0.000000,1
23.925599,0.000000,1
0.000000,0.000000,1
0.024521,0.000000,1
0.000000,0.000000,1
4.341099,0.000000,1
1.475402,0.000000,1
0.824258,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
36.936729,0.000000,1
44.111428,0.000000,1
58.375968,0.000000,1
0.000000,0.000000,1
0.390247,0.000000,1
0.000000,0.000000,1
14.290704,0.000000,1
29.074303,0.000000,1
5.307414,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
12.901511,0.000000,1
16.391927,0.000000,1
0.000000,0.000000,1
0.286249,0.000000,1
0.000000,0.000000,1
27.685334,0.000000,1
0.000000,0.000000,1
24.934372,1.000000,1
0.000000,0.000000,1
10.510234,0.000000,1
3.255187,0.000000,1
26.521893,0.000000,1
9.574551,0.000000,1
28.332650,0.000000,1
8.599360,0.000000,1
2.316226,0.000000,1
25.162028,0.000000,1
0.608519,0.000000,1
0.000000,0.000000,1
4.770910,0.000000,1
0.000000,0.000000,1
16.459614,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
18.132868,0.000000,1
0.000000,0.000000,1
5.045201,0.000000,1
7.059016,1.000000,1
20.326039,0.000000,1
16.826405,0.000000,1
0.000000,0.000000,1
19.995390,0.000000,1
17.577119,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.000000,0.000000,1
0.032536,0.000000,1
24.138028,0.000000,1
